task,method,model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,n_samples,n_classes,feature_dim,data_source,seq_length,rnn_hidden,rnn_layers,train_time,tag,group,feature_construction_time,inference_time_total,inference_time_per_sample,window_size,window_step,seq_step
,,rf,0.9749072825995904,0.9325155387446084,,,0.9748190121350052,,,,,,,,6.853634600003716,group_a_rf,A,3.9156322479248047,0.4636081999924499,3.5305582843469417e-06,,,
,,xgb,0.9759582067274376,0.9224283553617348,,,0.9755514070588184,,,,,,,,26.102670199994463,group_a_xgb,A,4.0682806968688965,0.3665017999883275,2.79105496019684e-06,,,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1821505000116303,group_b_rf_W300_S300,B,14.56021523475647,0.0297348000167403,3.8121538483000434e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.3930794000043534,group_b_xgb_W300_S300,B,13.768763780593872,0.0022461999906226,2.879743577721409e-06,300.0,300.0,
,,rf,0.9717729630759842,0.8875257938292044,,,0.9683129988975486,,,,,20.0,,,0.7797466000192799,group_c_rf_H20_L20,C,74.91676497459412,0.0394084999861661,6.012892887727516e-06,,,20.0
,,xgb,0.9763503204150136,0.901188715606166,,,0.9752693814546064,,,,,20.0,,,1.5374909000238404,group_c_xgb_H20_L20,C,69.49250197410583,0.0241888000164181,3.6906927092490232e-06,,,20.0
,,lstm,0.994659749771132,0.9642756163786258,,,0.994694913142129,,,,,20.0,,,145.0452847480774,group_d_lstm_H20_L20,D,29.78192925453186,0.297233800025424,4.535151053180104e-05,,,20.0
,,gru,0.9966432712847116,0.972992407397674,,,0.9966870520293664,,,,,20.0,,,300.66495537757874,group_d_gru_H20_L20,D,29.54086923599243,0.6163694999995641,9.4044781812567e-05,,,20.0
,,rf,0.9706435829883328,0.9449489566701592,,,0.9703146660133803,,,,,,,,0.2638971999986097,group_b_rf_W60_S60,B,39.53049111366272,0.0304219000099692,1.1449717730511573e-05,60.0,60.0,
,,xgb,0.9706435829883328,0.930472891903398,,,0.9705408135889916,,,,,,,,0.7631667999958154,group_b_xgb_W60_S60,B,38.34970569610596,0.0079038999974727,2.974745953132391e-06,60.0,60.0,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1581462000031024,group_b_rf_W300_S300,B,13.311429262161257,0.0290324999950826,3.722115383984951e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.422188999975333,group_b_xgb_W300_S300,B,13.289936304092407,0.0029266000201459,3.752051307879484e-06,300.0,300.0,
,,rf,0.9466666666666668,0.9489515020701632,,,0.937956373691668,,,,,,,,0.1331421000068076,group_b_rf_W900_S900,B,7.466587543487549,0.0289895000169053,9.663166672301788e-05,900.0,900.0,
