device,precision,recall,f1
Amazon Echo,0.0,0.0,0.0
Dropcam,0.0,0.0,0.0
HP Printer,0.009523809523809525,0.014354066985645933,0.011450381679389313
Laptop,0.0,0.0,0.0
Netatmo Welcome,0.01875,0.009868421052631578,0.01293103448275862
Netatmo weather station,0.0,0.0,0.0
PIX-STAR Photo-frame,0.3236994219653179,0.9333333333333333,0.48068669527896996
Samsung SmartCam,0.2587222473946534,0.9209677419354839,0.4039617969579059
TP-Link Day Night Cloud camera,0.0,0.0,0.0
TP-Link Smart plug,0.0,0.0,0.0
Triby Speaker,0.0,0.0,0.0
