device,precision,recall,f1
Amazon Echo,0.0,0.0,0.0
Belkin Wemo switch,0.0,0.0,0.0
Belkin wemo motion sensor,0.0,0.0,0.0
HP Printer,0.8,0.07655502392344497,0.13973799126637554
Laptop,0.0,0.0,0.0
Netatmo Welcome,0.007575757575757576,0.003289473684210526,0.0045871559633027525
Netatmo weather station,0.0,0.0,0.0
PIX-STAR Photo-frame,0.5054945054945055,0.7666666666666667,0.609271523178808
Samsung Galaxy Tab,0.0,0.0,0.0
Samsung SmartCam,1.0,0.0032258064516129032,0.006430868167202572
Smart Things,0.0,0.0,0.0
TP-Link Day Night Cloud camera,0.0,0.0,0.0
TP-Link Smart plug,0.0,0.0,0.0
TPLink Router Bridge LAN,0.0,0.0,0.0
Withings Smart Baby Monitor,0.0,0.0,0.0
