device,precision,recall,f1
Amazon Echo,0.967741935483871,0.9885281913595314,0.9780246317314658
Android Phone 2,0.6883223684210527,0.6345716451857468,0.6603550295857988
Belkin Wemo switch,0.8521830615465544,0.9281894576012223,0.8885638541000092
Belkin wemo motion sensor,0.9279115803365225,0.876714463840399,0.9015867927552492
Dropcam,0.9998878420816509,0.9999439178957995,0.9999158792025349
HP Printer,0.8546409807355516,0.8278201865988125,0.8410168031021111
Laptop,0.9922983669685517,0.9986364288790011,0.9954573094394964
Netatmo Welcome,0.9140782573618395,0.8625808907499048,0.8875832354093224
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.9176090468497576,0.9594594594594594,0.9380677126341866
Samsung Galaxy Tab,0.7816840277777778,0.8015131286159324,0.7914744012304988
Samsung SmartCam,0.9749187652315191,0.9804942810457516,0.9776985743380855
Smart Things,0.9994722955145119,1.0,0.9997360781208762
TP-Link Day Night Cloud camera,0.926060606060606,0.9351285189718482,0.9305724725943971
TP-Link Smart plug,1.0,1.0,1.0
TPLink Router Bridge LAN,0.9975601491019993,0.9949303771799378,0.996243527699753
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,0.998306806637318,0.9996609020006781,0.9989833954591664
