device,precision,recall,f1
Amazon Echo,0.9736274274754255,0.9912130827434709,0.9823415578132559
Android Phone 2,0.6131147540983607,0.5670962850644428,0.5892083497439937
Belkin Wemo switch,0.9045721874407133,0.9106187929717342,0.9075854192443134
Belkin wemo motion sensor,0.944762216048374,0.9010286783042394,0.9223773434383725
Dropcam,1.0,0.9999439178957995,0.999971958161577
HP Printer,0.8934977578475336,0.6759966072943172,0.7696764847899565
Laptop,0.9967048710601719,0.9985646619778958,0.99763389976339
Netatmo Welcome,0.846571622539036,0.949371907118386,0.8950296070339135
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.9785867237687366,0.7719594594594594,0.8630783758262511
Samsung Galaxy Tab,0.7620320855614974,0.7610146862483311,0.7615230460921844
Samsung SmartCam,0.9770196396031585,0.9856004901960784,0.9812913065582105
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9549330085261876,0.9596083231334149,0.9572649572649573
TP-Link Smart plug,0.9649122807017544,1.0,0.9821428571428571
TPLink Router Bridge LAN,0.9945824079682347,0.9989522779505204,0.9967625535358986
Triby Speaker,1.0,0.998019801980198,0.9990089197224975
Withings Smart Baby Monitor,0.9983062330623306,0.9993218040013564,0.9988137603795967
