device,precision,recall,f1
Amazon Echo,1.0,1.0,1.0
Android Phone 2,0.4444444444444444,0.8888888888888888,0.5925925925925926
Belkin Wemo switch,1.0,1.0,1.0
Belkin wemo motion sensor,1.0,1.0,1.0
Dropcam,1.0,0.9984202211690363,0.9992094861660079
HP Printer,0.9878048780487805,0.9984591679506933,0.993103448275862
Laptop,1.0,0.9230769230769231,0.96
Netatmo Welcome,1.0,1.0,1.0
Netatmo weather station,0.9634551495016611,1.0,0.9813874788494078
PIX-STAR Photo-frame,0.8724489795918368,1.0,0.9318801089918256
Samsung Galaxy Tab,0.9916317991631799,0.6220472440944882,0.7645161290322581
Samsung SmartCam,1.0,1.0,1.0
Smart Things,0.9978260869565218,1.0,0.998911860718172
TP-Link Day Night Cloud camera,0.9907834101382489,1.0,0.9953703703703703
TP-Link Smart plug,0.4666666666666667,1.0,0.6363636363636364
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,0.9862068965517241,1.0,0.9930555555555556
Withings Smart Baby Monitor,1.0,1.0,1.0
