device,precision,recall,f1
Amazon Echo,0.9863013698630136,0.9908256880733946,0.988558352402746
Android Phone 2,0.15789473684210525,0.3333333333333333,0.21428571428571427
Belkin Wemo switch,1.0,1.0,1.0
Belkin wemo motion sensor,1.0,1.0,1.0
Dropcam,1.0,0.9984202211690363,0.9992094861660079
HP Printer,0.995398773006135,1.0,0.9976940814757879
Laptop,0.7058823529411765,0.9230769230769231,0.8
Netatmo Welcome,0.9987775061124694,1.0,0.999388379204893
Netatmo weather station,0.9602649006622517,1.0,0.9797297297297297
PIX-STAR Photo-frame,0.9395604395604396,1.0,0.9688385269121813
Samsung Galaxy Tab,0.990990990990991,0.5774278215223098,0.7296849087893864
Samsung SmartCam,0.9979919678714859,1.0,0.9989949748743718
Smart Things,0.9956616052060737,1.0,0.9978260869565218
TP-Link Day Night Cloud camera,0.959731543624161,0.9976744186046511,0.9783352337514253
TP-Link Smart plug,0.3656716417910448,1.0,0.5355191256830601
TPLink Router Bridge LAN,1.0,0.9978448275862069,0.9989212513484358
Triby Speaker,0.9907407407407407,0.9976689976689976,0.9941927990708479
Withings Smart Baby Monitor,1.0,1.0,1.0
