device,precision,recall,f1
Amazon Echo,0.9969072164948454,0.9948559670781894,0.995880535530381
Android Phone 2,0.6779661016949152,1.0,0.8080808080808081
Belkin Wemo switch,0.6309963099630996,0.7953488372093023,0.7037037037037037
Belkin wemo motion sensor,0.7341389728096677,0.5388026607538803,0.6214833759590793
Dropcam,0.9997357293868921,1.0,0.9998678472313995
HP Printer,0.9093137254901961,0.9228855721393034,0.9160493827160494
Laptop,0.8805970149253731,0.855072463768116,0.8676470588235294
Netatmo Welcome,0.9932885906040269,0.9961538461538462,0.9947191550648103
Netatmo weather station,0.9897959183673469,1.0,0.9948717948717949
PIX-STAR Photo-frame,0.7857142857142857,0.9482758620689655,0.859375
Samsung Galaxy Tab,0.9186046511627907,0.7149321266968326,0.8040712468193384
Samsung SmartCam,1.0,1.0,1.0
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9576719576719577,0.9141414141414141,0.9354005167958657
TP-Link Smart plug,0.65625,0.9333333333333333,0.7706422018348624
TPLink Router Bridge LAN,1.0,0.9998202731847592,0.9999101285162219
Triby Speaker,0.9927536231884058,0.9856115107913669,0.9891696750902527
Withings Smart Baby Monitor,1.0,0.9984662576687117,0.9992325402916347
