device,precision,recall,f1
Amazon Echo,0.9250180245133381,0.9797632684230623,0.9516039310216948
Android Phone 2,0.5131578947368421,0.78,0.6190476190476191
Belkin Wemo switch,0.5344129554655871,0.6974286720676295,0.6051344743276283
Belkin wemo motion sensor,0.5924265072247135,0.39966386554621847,0.47731834604576473
Dropcam,0.9997365648050579,1.0,0.9998682650507179
HP Printer,0.9656708595387841,0.9475443558755464,0.9565217391304348
Laptop,0.9156626506024096,1.0,0.9559748427672956
Netatmo Welcome,0.9819970692903496,0.9565660685154975,0.9691147608718108
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.8954081632653061,0.9538043478260869,0.9236842105263158
Samsung Galaxy Tab,0.9913962264150944,0.9549287583599884,0.9728208546248982
Samsung SmartCam,0.9463109354413702,0.9653897849462365,0.9557551563539588
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9112718964204113,0.9250096637031311,0.9180893919048533
TP-Link Smart plug,0.9711355867831372,0.9996090695856138,0.985166634559815
TPLink Router Bridge LAN,0.9998203054806828,0.9998203054806828,0.9998203054806828
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,1.0,1.0
