group,model,accuracy,macro_f1,weighted_f1
A,rf,0.2369253550514908,0.1038457785857979,0.2329615471682943
A,xgb,0.2578582486370061,0.1273577405222833,0.2652722736428076
B,rf,0.1497860199714693,0.0864412112532413,0.082394515662779
B,xgb,0.1733238231098431,0.0633583910369055,0.0622806476467188
E0,rf,0.1408910235177211,0.0405520519080481,0.04057299458792
E0,xgb,0.2056144418681682,0.1376835464553601,0.1376935776487368
E1,rf,0.1179345516362091,0.0416600157890418,0.0306604366683856
E1,xgb,0.1653208669783255,0.1255770338747881,0.0817696625911331
D,lstm,0.0221013260795647,0.0506685025717125,0.0241901275899049
D,gru,0.2152329139748384,0.0826390825817294,0.0971171982605885
C,rf,0.07276436586195172,0.0250399251967305,0.025824805457387724
C,xgb,0.1366723259762309,0.05466891166646467,0.052474080212588974
