feature,importance
seq_packet_len_max,0.10874356454850741
seq_iat_std,0.08364637244182056
seq_iat_mean,0.08093678289383956
seq_packet_len_min,0.06974007053207909
seq_packet_len_mean,0.06294993779078947
seq_payload_len_std,0.061720936833586856
seq_packet_len_std,0.059633519472058076
tcp_flag_change_count,0.05832811109730183
seq_payload_len_mean,0.055189301060463894
dst_port_change_count,0.03968297169298995
iat_mean_seg2,0.039400726195147395
iat_mean_seg3,0.03844081262977292
iat_mean_seg1,0.038375998952056886
packet_len_mean_seg3,0.03506965423072367
packet_len_mean_seg1,0.031402598330256354
payload_len_mean_seg3,0.02756462900832306
payload_len_mean_seg2,0.02545233003522164
payload_len_mean_seg1,0.025377855053762655
packet_len_mean_seg2,0.025179871837259112
proto_switch_count,0.02314468792332502
first_last_packet_len_diff,0.005068612876157671
first_last_payload_len_diff,0.004950654564556858
seq_outbound_ratio,0.0
outbound_ratio_seg1,0.0
outbound_ratio_seg2,0.0
direction_switch_count,0.0
outbound_ratio_seg3,0.0
first_last_direction_diff,0.0
