H,L,model,group,accuracy,macro_f1,weighted_f1,feature_construction_time,train_time,inference_time_total,inference_time_per_sample
50,5,rf,C,0.9847085425209826,0.9199750580361088,0.984166369308933,336.5910737514496,3.5706657999835443,0.1198283999983687,4.592358103643456e-06
50,5,xgb,C,0.9842103246081324,0.9232425570717498,0.9836824625844,321.8227262496948,6.186096799996449,0.08186679999926127,3.137500479027374e-06
50,5,lstm,D,0.9984670218066148,0.9904017828401958,0.9984606586507715,121.41532015800476,1252.0328259468079,2.36206400001538,9.052481508509485e-05
50,5,gru,D,0.9972789637067413,0.9879290727417965,0.9972178733733433,144.39279460906982,2578.9873583316803,5.9290902000211645,0.00022722914958115835
50,10,rf,C,0.9843666181316576,0.9204502215130267,0.9836990638946563,158.6559374332428,1.642800100002205,0.06301949999760836,4.829450532424582e-06
50,10,xgb,C,0.9832937389838302,0.9189572672517516,0.9827088879947301,183.94530177116394,3.27996080002049,0.04910830000881106,3.763376504621891e-06
50,10,lstm,D,0.9993869262012415,0.9973453312028706,0.9993859401583183,79.07937049865723,644.8021304607391,0.9077310999855399,6.956326921492375e-05
50,10,gru,D,0.999157023526707,0.9928762479866909,0.9991612417452183,63.77414083480835,1790.0947856903076,2.8546689999930095,0.00021876534600298947
50,20,rf,C,0.9820854386770785,0.912161326279046,0.9812281476302906,72.66818571090698,0.8004065999994054,0.04071500001009554,6.234114226013709e-06
50,20,xgb,C,0.9819323227683356,0.9236652149173421,0.9813704759711642,73.72642159461975,1.5595305000024382,0.022067999991122633,3.378961872779457e-06
50,20,lstm,D,0.9977032613688562,0.9792765190651477,0.997699366470129,31.028560638427734,164.5746033191681,0.45599300001049414,6.98197825770164e-05
50,20,gru,D,0.9978563772775991,0.9851448539296843,0.9978851570419143,30.951002597808838,541.6248304843903,1.351833600027021,0.0002069872301373482
50,25,rf,C,0.9785645933014354,0.908721546755454,0.9780050719598018,52.525243520736694,0.6317946999915875,0.04065619999892078,7.78109090888436e-06
50,25,xgb,C,0.9829665071770335,0.9255349508914404,0.9818573038295182,53.26583552360535,1.067813000001479,0.011154500010889024,2.1348325379691912e-06
50,25,lstm,D,0.997511961722488,0.9812689807349353,0.9975178516085753,24.910208702087402,204.22766184806824,0.3511493999976665,6.720562679381176e-05
50,25,gru,D,0.997511961722488,0.9679668135247971,0.9978410239266279,24.626956462860107,590.1688022613525,1.1902608000091277,0.0002278011100495938
50,50,rf,C,0.9759082217973232,0.8960248413290225,0.9738964986443963,28.343592166900635,0.3309380999999121,0.03943689999869093,1.5081032504279516e-05
50,50,xgb,C,0.9789674952198852,0.9118035457475516,0.9785425585671406,28.151138305664062,0.698105299990857,0.008633100020233542,3.301376680777645e-06
50,50,lstm,D,0.9889101338432122,0.9418136457729709,0.9887608214429919,14.312763452529907,68.53431439399719,0.1756883000198286,6.718481836322317e-05
50,50,gru,D,0.9965583173996176,0.9679257144789675,0.9967987421999951,13.953868865966797,411.1213870048523,0.5719488000031561,0.00021871847036449563
