group,model,accuracy,macro_f1,weighted_f1
A,rf,0.5921464285714285,0.6183383044099974,0.6183383044099972
A,xgb,0.5735071428571429,0.5927617846690593,0.5927617846690593
B,rf,0.8603342710574218,0.8279587257405127,0.8635869937907106
B,xgb,0.7425119973523084,0.6956085459574693,0.7099941776354088
C,rf,0.5229745204695104,0.41962157514788245,0.5395134537615631
C,xgb,0.3636688718040408,0.27660275830715375,0.3556321178234834
D,gru,0.6041010592613799,0.491932837663742,0.5973470171631153
D,lstm,0.6086816490123104,0.46924977459037454,0.6033211387590529
E0,rf,0.5904131424279812,0.7655889467452093,0.6199633094398613
E0,xgb,0.5854455556762407,0.7698406420259872,0.6059504289795403
E1,rf,0.8587654536717487,0.7883938260983102,0.8628010659131037
E1,xgb,0.6685596959503735,0.6214034299416747,0.6603132169099671
